csoport,osztaly
KNYA,KNYA
NYE,NYE
NYF,NYF
9.A,9.A
9.B,9.B
9.C,9.C
9.D,9.D
9.E,9.E
9.F,9.F
10.A,10.A
10.B,10.B
10.C,10.C
10.D,10.D
10.E,10.E
10.F,10.F
11.A,11.A
11.B,11.B
11.D,11.D
11.E,11.E
11.F,11.F
12.A,12.A
12.B,12.B
12.D,12.D
12.E,12.E
12.F,12.F
történelem 12F/alap_AB,12.F
történelem 11F/alap_AB,11.F
történelem 9D/2r_AB,9.D
történelem fakt 11/3_AB (D),11.D
testnevelés NyF/fiú_BZ,NYF
irodalom 10B/1_KM,10.B
történelem 9D/1n_AB,9.D
történelem 10C/1mat_AB,10.C
életvitel 12F/alap_AB,12.F
matematika 9E/1_ÁE,9.E
matematika fakt 11/1_ÁE (A),11.A
matematika 9A/1_ÁE,9.A
matematika 9C/1mat_ÁE,9.C
angol 11/1_BE (BD),11.B
angol 11/1_BE (BD),11.D
rajz 12D/2r_PT,12.D
nyelvtan 10B/1_KM,10.B
rajz 9D/2r_BR,9.D
rajz 10D/1n_BR,10.D
olasz szk 9/2_CsB,9.A
művészeti modul 11/1_BR (képzőművészeti gyakorlat EF),11.E
művészeti modul 11/1_BR (képzőművészeti gyakorlat EF),11.E
rajz 10D/2r_BR,10.D
rajz 11D/2r_BR,11.D
rajz 9D/1n_BR,9.D
művészeti modul 11/2_BR (képzőművészeti gyakorlat BD),11.B
művészeti modul 11/2_BR (képzőművészeti gyakorlat BD),11.D
rajz 12D/2r_BR,12.D
testnevelés 12B/lány_BAF,12.B
testnevelés 10B/lány_BAF,10.B
testnevelés 9A10D/lány-2_BAF,9.A
testnevelés 9A10D/lány-2_BAF,10.D
testnevelés 11A/lány-1_BAF,11.A
testnevelés 10C/lány_BAF,10.C
testnevelés 11F/lány_BAF,11.F
testnevelés 9F/lány_BAF,9.F
testnevelés NyE/fiú_DF,9.F
matematika 11A/1alap-ol_DÁ,11.A
művészeti modul 11/5_BTK (zenetörténet EF),11.E
művészeti modul 11/5_BTK (zenetörténet EF),11.F
etika 12A/2_BTK,12.A
művészeti modul 11/6_BTK (zenetörténet B),11.B
etika 12A/1_BTK,12.A
művészeti modul 11/7_BTK (zenetörténet DE),11.D
művészeti modul 11/7_BTK (zenetörténet DE),11.E
olasz lekt KNy/2_BG,KNYA
olasz 5óra KNy/1_BG,KNYA
olasz szk 9/3_BG,9.A
olasz 10/1_BG (A/1),10.A
olasz 11/3_BG (EF),11.E
olasz 11/3_BG (EF),11.F
olasz 10/2_BG (A/2),10.A
angol 11/2_DW (BD/1),11.B
angol 11/2_DW (BD/1),11.D
angol 10/10_BF (CD/4),10.C
angol 10/10_BF (CD/4),10.D
angol 9/7_BF (EF/2),9.E
angol 9/7_BF (EF/2),9.F
német 10/7_BF (9A10BCD/3),9.A
német 10/7_BF (9A10BCD/3),10.B
német 10/7_BF (9A10BCD/3),10.C
német 10/7_BF (9A10BCD/3),10.D
angol 9/5_BF (CD/3),9.C
angol 9/5_BF (CD/3),9.D
matematika 12B/1mt_FSÁ,12.B
testnevelés 12B/fiú_BZ,12.B
testnevelés 9C/fiú_BZ,9.C
testnevelés 9C/fiú_BZ,9.C
olasz 10/3_FÉ (A/3),10.A
testnevelés 11B/fiú_BZ,11.B
testnevelés 11E/fiú_BZ,11.E
testnevelés 11F/fiú_BZ,11.F
testnevelés 10E/fiú_BZ,10.E
informatika 11F/1inf_MAt,11.F
angol 10/5_BE (CD/3),10.C
angol 10/5_BE (CD/3),10.D
német 9/1_BHJ (EF/1),9.E
német 9/1_BHJ (EF/1),9.F
német 10/4_BHJ (EF/3),10.E
német 10/4_BHJ (EF/3),10.F
német 10/6_BHJ (9A10BCD/2),9.A
német 10/6_BHJ (9A10BCD/2),10.B
német 10/6_BHJ (9A10BCD/2),10.C
német 10/6_BHJ (9A10BCD/2),10.D
német 9/1n_BHJ (D),9.D
irodalom KNy/1_BHA,KNYA
irodalom 11B/2ang_BHA,11.B
irodalom 11B/1mat_BHA,11.B
német 9/1n_GA (D),9.A
irodalom KNy/2_BHA,KNYA
nyelvtan KNy/1_BHA,KNYA
nyelvtan KNy/2_BHA,KNYA
nyelvtan 11B/1mat_BHA,11.B
nyelvtan 11B/2ang_BHA,11.B
olasz 8óra KNy/2_CsL,KNYA
olasz 11/2 (A/2)_CsL,11.A
olasz 11/1 (A/1)_CsL,11.A
angol 11/8_CsÁJ (EF/4),11.E
angol 11/8_CsÁJ (EF/4),11.F
angol 10/8_CsÁJ (EF/3),10.E
angol 10/8_CsÁJ (EF/3),10.F
angol 9/2_CsÁJ (B/2),9.B
német 11/1_JVZ (D),11.D
