sorszam,hosszu,rovid,kreta
1,Ábrázoló geometria,ág,Ábrázoló geometria
2,Angol nyelv,a,Angol nyelv
3,Angol OKTV felkészülés,ao,Angol OKTV felkészülés
4,Biológia,bi,Biológia
5,Biológia fakultáció,bi,Biológia fakultáció
6,Életvitel,év,Életvitel
7,Ének-zene,én,Ének-zene
8,Etika,et,Etika
9,Fizika,fi,Fizika
10,Fizika fakultáció,fi,Fizika fakultáció
11,Földrajz,fö,Földrajz
12,Francia nyelv,fr,Francia nyelv
13,Informatika,inf,Informatika
14,Irodalom,i,Irodalom
15,Kémia,ké,Kémia
16,Latin nyelv,la,Latin nyelv
17,Latin szakkör,lsz,Latin szakkör
18,Magyar mint idegen nyelv,mid,Magyar mint idegen nyelv
19,Matematika,mt,Matematika
20,Matematika felzárkóztató,mtk,Matematika felzárkóztató
21,Mozgóképkultúra és médiaismeret,mé,Mozgóképkultúra és médiaismeret
22,Művészeti technikák,mte,Művészeti technikák
23,Művészettörténet,mtö,Művészettörténet
24,Német nyelv,né,Német nyelv
25,Német OKTV felkészülés,nész,Német OKTV felkészülés
26,Német szakkör,nész,Német szakkör
27,Nyelvtan,ny,Nyelvtan
28,Nyelvtan felzárkóztató,nyk,Nyelvtan felzárkóztató
29,Olasz célnyelvi civilizáció,civ,Olasz célnyelvi civilizáció
30,Olasz nyelv,ol,Olasz nyelv
31,Orosz nyelv,or,Orosz nyelv
32,Osztályfőnöki,of,Osztályfőnöki
33,Rajz vizuális kultúra,r,Rajz vizuális kultúra
34,Spanyol nyelv,sp,Spanyol nyelv
35,Testnevelés,te,Testnevelés
36,Történelem,tö,Történelem
37,Zenetörténet,zt,Zenetörténet
